Severity	Code	Description	Project	File	Line	Suppression State
Error	BC30109	'Form' is a class type and cannot be used as an expression.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	3	Active
Error	BC30451	'edicion' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	17	Active
Error	BC30451	'borrado' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	17	Active
Error	BC30451	'edicion' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	26	Active
Error	BC30451	'borrado' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	26	Active
Error	BC30451	'edita_item' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	28	Active
Error	BC30451	'edita_item' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	29	Active
Error	BC30451	'edita_item' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	30	Active
Error	BC30451	'edita_item' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	31	Active
Error	BC30451	'edita_item' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	32	Active
Error	BC30451	'edita_item' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	33	Active
Error	BC30451	'edita_item' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	35	Active
Error	BC30451	'edita_item' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	36	Active
Error	BC30451	'edita_item' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	37	Active
Error	BC30451	'edita_item' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	40	Active
Error	BC30451	'edita_item' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	41	Active
Error	BC30451	'borrado' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	44	Active
Error	BC30451	'edita_item' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	63	Active
Error	BC30451	'edita_item' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	67	Active
Error	BC30451	'edicion' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	77	Active
Error	BC30451	'tabla' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	88	Active
Error	BC30451	'tabla' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	89	Active
Error	BC30451	'tabla' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	92	Active
Error	BC30451	'id' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	95	Active
Error	BC30451	'id' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	97	Active
Error	BC30451	'tabla' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	102	Active
Error	BC30451	'tabla' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	103	Active
Error	BC30451	'tabla' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	106	Active
Error	BC30451	'id' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	109	Active
Error	BC30451	'id' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	111	Active
Error	BC30451	'tabla' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	116	Active
Error	BC30451	'tabla' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	117	Active
Error	BC30451	'tabla' is not declared. It may be inaccessible due to its protection level.	Centrex	S:\Users\Javi\Desktop\Centrex 2.0 - copia\Formularios\Agregar\add_item.vb	120	Active
